lat,lon,depth,starttime,energy,duration 
 47.33, -122.67, 20.0, 2013-09-09 04:27:30, 0.0, None 
 47.32, -122.49, 60.0, 2013-09-09 04:35:00, 0.0, None 
 47.13, -122.68, 35.0, 2013-09-09 04:35:00, 0.0, None 
 47.7, -122.75, 20.0, 2013-09-09 04:42:30, 0.0, None 
 47.2, -122.7, 20.0, 2013-09-09 04:50:00, 0.0, None 
 47.2, -122.69, 20.0, 2013-09-09 05:00:00, 0.0, None 
 47.19, -122.83, 43.0, 2013-09-09 05:02:30, 0.0, None 
 47.13, -122.71, 52.0, 2013-09-09 05:05:00, 0.0, None 
 47.78, -123.29, 60.0, 2013-09-09 05:37:30, 0.0, None 
 47.18, -122.66, 48.0, 2013-09-09 05:50:00, 0.0, None 
 47.19, -122.67, 48.0, 2013-09-09 05:52:30, 0.0, None 
 47.21, -122.53, 60.0, 2013-09-09 05:55:00, 0.0, None 
 47.23, -122.69, 60.0, 2013-09-09 05:57:30, 0.0, None 
